sample_index,timestamp,eeg
325,1782309407.7444463,217
326,1782309407.7444475,613
327,1782309407.7444484,255
328,1782309407.7444494,673
329,1782309407.7444503,209
330,1782309407.744451,684
331,1782309407.7444568,223
332,1782309407.744458,731
333,1782309407.7444596,188
334,1782309407.7444606,683
335,1782309407.7444613,220
336,1782309407.7444623,724
337,1782309407.7444632,184
338,1782309407.744464,634
339,1782309407.7444649,258
340,1782309407.7444658,664
341,1782309407.744471,213
342,1782309407.744472,607
343,1782309407.744473,255
344,1782309407.744474,671
345,1782309407.7444746,213
346,1782309407.7444756,619
347,1782309407.7444763,251
348,1782309407.7444775,682
349,1782309407.7444782,202
350,1782309407.744479,743
351,1782309407.745199,246
352,1782309407.7452002,685
353,1782309407.7452013,204
354,1782309407.7452025,736
355,1782309407.7452033,248
356,1782309407.7452042,683
357,1782309407.745205,209
358,1782309407.745206,736
359,1782309407.7452068,251
360,1782309407.7452075,667
361,1782309407.7510576,215
362,1782309407.7510645,717
363,1782309407.751067,262
364,1782309407.7510684,643
365,1782309407.751071,233
366,1782309407.7510724,689
367,1782309407.7510738,287
368,1782309407.751075,622
369,1782309407.7510765,244
370,1782309407.751078,676
371,1782309407.7571287,294
372,1782309407.7571418,618
373,1782309407.757145,246
374,1782309407.7571478,678
375,1782309407.7571502,201
376,1782309407.7571526,614
377,1782309407.757156,247
378,1782309407.757158,660
379,1782309407.7571602,206
380,1782309407.7571623,603
381,1782309407.7589366,250
382,1782309407.7589388,664
383,1782309407.7589405,210
384,1782309407.7589417,573
385,1782309407.7589433,259
386,1782309407.7589443,656
387,1782309407.7589455,216
388,1782309407.758947,598
389,1782309407.758948,259
390,1782309407.758949,654
391,1782309407.758972,221
392,1782309407.7589736,593
393,1782309407.7589755,268
394,1782309407.758977,646
395,1782309407.7589781,228
396,1782309407.7589796,587
397,1782309407.7589808,267
398,1782309407.7589822,650
399,1782309407.7589834,222
400,1782309407.7589848,708
401,1782309407.7589927,270
402,1782309407.758994,645
403,1782309407.7589953,227
404,1782309407.7589965,706
405,1782309407.7589977,281
406,1782309407.7589989,638
407,1782309407.7590003,235
408,1782309407.7590022,699
409,1782309407.7590034,284
410,1782309407.7590046,635
411,1782309407.7600589,239
412,1782309407.7600603,693
413,1782309407.7600617,285
414,1782309407.760063,625
415,1782309407.7600644,242
416,1782309407.7600656,692
417,1782309407.760067,285
418,1782309407.7600684,624
419,1782309407.7600694,249
420,1782309407.7600706,677
421,1782309407.761021,295
422,1782309407.7610228,613
423,1782309407.761024,257
424,1782309407.7610252,678
425,1782309407.7610266,207
426,1782309407.7610278,609
427,1782309407.761029,254
428,1782309407.7610304,669
429,1782309407.7610316,208
430,1782309407.761033,609
431,1782309407.7669392,257
432,1782309407.7669406,668
433,1782309407.766942,210
434,1782309407.7669432,604
435,1782309407.7669444,255
436,1782309407.7669458,671
437,1782309407.766947,203
438,1782309407.7669485,610
439,1782309407.7669494,254
440,1782309407.7669506,666
441,1782309407.7679496,208
442,1782309407.7679553,602
443,1782309407.7679572,257
444,1782309407.7679589,659
445,1782309407.76796,217
446,1782309407.7679613,595
447,1782309407.7679627,260
448,1782309407.767964,653
449,1782309407.767966,216
450,1782309407.7679675,717
451,1782309407.7690177,269
452,1782309407.7690194,649
453,1782309407.7690206,222
454,1782309407.769022,710
455,1782309407.7690232,274
456,1782309407.7690246,645
457,1782309407.7690258,224
458,1782309407.7690272,712
459,1782309407.7690287,277
460,1782309407.7690299,649
461,1782309407.7726974,217
462,1782309407.7727036,709
463,1782309407.7727058,264
464,1782309407.772707,653
465,1782309407.7727087,215
466,1782309407.77271,716
467,1782309407.7727115,263
468,1782309407.7727127,644
469,1782309407.772714,218
470,1782309407.7727153,714
471,1782309407.7727273,261
472,1782309407.772729,643
473,1782309407.772731,218
474,1782309407.7727325,714
475,1782309407.7727337,172
476,1782309407.772735,653
477,1782309407.7727363,216
478,1782309407.7727375,708
479,1782309407.772739,173
